Date,Type,Count
5/6/2018,EMAIL,2
5/7/2018,EMAIL,2
5/7/2018,TASK,3
5/7/2018,NOTE,5
5/8/2018,NOTE,1
5/9/2018,TASK,8
5/9/2018,NOTE,2
5/10/2018,TASK,5
5/11/2018,MEETING,1
5/11/2018,TASK,16
5/11/2018,CALL,1
5/11/2018,NOTE,4
5/13/2018,TASK,22
5/14/2018,CALL,9
5/14/2018,TASK,36
5/15/2018,CALL,3
5/15/2018,TASK,4
5/16/2018,NOTE,2
5/16/2018,TASK,13
5/16/2018,EMAIL,2
5/18/2018,PUBLISHING_TASK,2
5/18/2018,TASK,1
5/21/2018,NOTE,1
5/23/2018,NOTE,2
5/24/2018,TASK,17
5/24/2018,CALL,1
5/30/2018,CALL,3
5/30/2018,TASK,2
5/31/2018,PUBLISHING_TASK,4
5/31/2018,CALL,1
5/31/2018,TASK,1
6/4/2018,CALL,6
6/5/2018,CALL,2
6/5/2018,NOTE,3
6/7/2018,TASK,6
6/8/2018,TASK,7
6/9/2018,TASK,6
6/10/2018,TASK,5
6/11/2018,NOTE,1
6/11/2018,TASK,4
6/12/2018,TASK,61
6/15/2018,TASK,1
6/17/2018,TASK,1
6/18/2018,TASK,6
6/19/2018,TASK,1
6/21/2018,TASK,2
6/25/2018,PUBLISHING_TASK,1
6/25/2018,TASK,2
6/26/2018,TASK,1
6/28/2018,EMAIL,1
6/28/2018,PUBLISHING_TASK,2
6/28/2018,INCOMING_EMAIL,1
6/28/2018,TASK,1
6/29/2018,TASK,2
6/30/2018,EMAIL,1
7/1/2018,TASK,10
7/1/2018,INCOMING_EMAIL,1
7/2/2018,NOTE,1
7/9/2018,NOTE,2
7/10/2018,CALL,1
7/10/2018,TASK,1
7/10/2018,NOTE,2
7/11/2018,NOTE,8
7/12/2018,NOTE,11
7/13/2018,TASK,6
7/14/2018,TASK,2
7/15/2018,EMAIL,1
7/16/2018,TASK,8
7/16/2018,NOTE,3
7/20/2018,NOTE,3
7/23/2018,PUBLISHING_TASK,4
7/23/2018,TASK,2
7/25/2018,EMAIL,9
7/25/2018,PUBLISHING_TASK,3
7/25/2018,NOTE,2
7/27/2018,TASK,6
